diet_type,cost
current,14.517894932808142
current,16.56001912080691
current,68.29713624720758
current,70.33926043520634
current,13.679046108101433
current,15.721170296100203
current,67.45828742250087
current,69.50041161049964
current,16.746173090717868
current,18.788297278716634
current,70.5254144051173
current,72.56753859311607
current,7.931711676839125
current,9.973835864837895
current,61.71095299123856
current,63.75307717923732
current,7.092862852132418
current,9.134987040131188
current,60.872104166531855
current,62.91422835453062
current,10.15998983474885
current,12.20211402274762
current,63.939231149148284
current,65.98135533714705
current,8.731709684572722
current,10.773833872571492
current,62.510950998972156
current,64.55307518697093
current,7.8928608598660155
current,9.934985047864785
current,61.67210217426545
current,63.71422636226421
current,10.959987842482446
current,13.002112030481216
current,64.73922915688188
current,66.78135334488064
current,9.136050767166923
current,11.178174955165693
current,62.915292081566356
current,64.95741626956513
current,8.297201942460216
current,10.339326130458984
current,62.07644325685965
current,64.11856744485841
current,11.364328925076647
current,13.406453113075417
current,65.14357023947608
current,67.18569442747484
current,10.04351185962471
current,12.08563604762348
current,63.82275317402414
current,65.86487736202291
current,9.204663034918003
current,11.246787222916772
current,62.983904349317434
current,65.02602853731621
current,12.271790017534434
current,14.313914205533203
current,66.05103133193387
current,68.09315551993264
current,10.13676707080426
current,12.178891258803029
current,63.916008385203696
current,65.95813257320246
current,9.29791824609755
current,11.34004243409632
current,63.07715956049699
current,65.11928374849576
current,12.365045228713983
current,14.407169416712753
current,66.14428654311341
current,68.18641073111218
current,9.986128603888258
current,12.028252791887027
current,63.76536991828769
current,65.80749410628646
current,9.14727977918155
current,11.18940396718032
current,62.92652109358099
current,64.96864528157975
current,12.214406761797981
current,14.256530949796751
current,65.99364807619742
current,68.03577226419618
current,9.920694091289983
current,11.962818279288753
current,63.699935405689416
current,65.74205959368818
current,9.081845266583278
current,11.123969454582047
current,62.861086580982715
current,64.90321076898148
current,12.148972249199707
current,14.191096437198476
current,65.92821356359914
current,67.97033775159791
current,8.278287404943026
current,10.320411592941793
current,62.05752871934246
current,64.09965290734122
current,7.439438580236317
current,9.481562768235086
current,61.21867989463575
current,63.260804082634515
current,10.506565562852748
current,12.548689750851517
current,64.28580687725218
current,66.32793106525095
current,8.45872145513891
current,10.500845643137678
current,62.23796276953834
current,64.28008695753711
current,7.6198726304322015
current,9.661996818430971
current,61.39911394483163
current,63.4412381328304
current,10.686999613048632
current,12.729123801047402
current,64.46624092744807
current,66.50836511544684
current,8.490045250235173
current,10.532169438233943
current,62.269286564634605
current,64.31141075263338
current,7.6511964255284655
current,9.693320613527234
current,61.4304377399279
current,63.47256192792667
current,10.718323408144897
current,12.760447596143667
current,64.49756472254433
current,66.5396889105431
current,8.760262411090688
current,10.802386599089457
current,62.53950372549012
current,64.58162791348889
current,7.921413586383979
current,9.963537774382749
current,61.70065490078341
current,63.74277908878218
current,10.988540569000412
current,13.030664756999181
current,64.76778188339985
current,66.80990607139861
current,9.767809623334855
current,11.809933811333625
